P_theta_norm	P_choose_bayes	P_choose_bayes_SE	Bayes_risk	Bayes_risk_SE	combined_risk	combined_risk_SE
0.00	1.00	0.00	13.26	0.06	13.26	0.06
0.91	1.00	0.00	13.47	0.06	13.47	0.06
1.82	1.00	0.00	14.10	0.06	14.10	0.06
2.73	1.00	0.00	15.13	0.06	15.13	0.06
3.64	1.00	0.00	16.58	0.07	16.61	0.07
4.55	1.00	0.00	18.45	0.07	18.70	0.11
5.46	0.97	0.00	20.72	0.08	22.02	0.18
6.37	0.90	0.01	23.41	0.09	27.52	0.25
7.27	0.69	0.01	26.52	0.09	36.34	0.30
8.18	0.42	0.01	30.04	0.10	44.48	0.26
9.09	0.15	0.01	33.97	0.11	49.16	0.20
10.00	0.03	0.00	38.31	0.12	50.10	0.20
10.91	0.01	0.00	43.07	0.12	50.07	0.20
11.82	0.00	0.00	48.24	0.13	50.00	0.20
12.73	0.00	0.00	53.82	0.14	50.00	0.20
13.64	0.00	0.00	59.82	0.15	50.00	0.20
14.55	0.00	0.00	66.23	0.16	50.00	0.20
15.46	0.00	0.00	73.06	0.17	50.00	0.20
16.37	0.00	0.00	80.35	0.18	49.90	0.20
17.28	0.00	0.00	88.01	0.18	49.90	0.20
