Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0000	0.00000	6.72734	45.25706	0.00000	45.25706	22.12000	0.99512	0.32715
0001	0.00000	6.12157	37.47357	0.00000	37.47357	31.47260	0.99902	0.80957
0002	0.00000	7.11332	50.59935	0.13353	50.46582	17.42538	0.99121	0.00000
0003	0.00000	6.28406	39.48937	0.00000	39.48937	29.03692	0.99902	0.71387
0004	0.00000	7.71776	59.56380	2.24501	57.31879	13.51618	0.98730	0.00000
0005	0.00000	7.56628	57.24862	1.49413	55.75449	14.40015	0.98730	0.00000
0006	0.00000	5.42101	29.38730	0.00000	29.38730	40.14120	0.99902	0.98145
0007	0.00000	7.00971	49.13608	0.02627	49.10981	18.20943	0.99121	0.01660
0008	0.00000	7.50131	56.26960	1.21533	55.05427	14.79752	0.98730	0.00000
0009	0.00000	7.48764	56.06474	1.16009	54.90466	14.88255	0.98926	0.00000
0010	0.00000	6.58377	43.34602	0.00000	43.34602	24.40406	0.99707	0.47168
0011	0.00000	6.51328	42.42276	0.00000	42.42276	25.51016	0.99707	0.53613
0012	0.00000	7.83724	61.42240	2.93315	58.48926	12.85831	0.98535	0.00000
0013	0.00000	7.16891	51.39330	0.22405	51.16925	17.01994	0.99121	0.00000
0014	0.00000	6.80392	46.29328	0.00000	46.29328	20.88440	0.99512	0.24512
0015	0.00000	6.91187	47.77393	0.00000	47.77393	19.12221	0.99121	0.12598
0016	0.00000	6.52754	42.60879	0.00000	42.60879	25.28714	0.99707	0.52246
0017	0.00000	7.03924	49.55088	0.04854	49.50234	17.98213	0.99121	0.00000
0018	0.00000	6.75742	45.66278	0.00000	45.66278	21.63598	0.99512	0.29590
0019	0.00000	6.87860	47.31507	0.00000	47.31507	19.66791	0.99316	0.16309
0020	0.00000	7.05525	49.77649	0.06340	49.71309	17.86021	0.99121	0.00000
0021	0.00000	6.49471	42.18120	0.00000	42.18120	25.79986	0.99707	0.55176
0022	0.00000	7.43738	55.31464	0.96727	54.34737	15.19970	0.98926	0.00000
0023	0.00000	8.21890	67.55031	5.65822	61.89209	10.96435	0.98340	0.00000
0024	0.00000	7.07705	50.08467	0.08677	49.99790	17.69556	0.99121	0.00000
0025	0.00000	7.01973	49.27656	0.03307	49.24349	18.13199	0.99121	0.00488
0026	0.00000	6.23653	38.89436	0.00000	38.89436	29.75477	0.99902	0.74512
0027	0.00000	7.43610	55.29560	0.96257	54.33303	15.20787	0.98926	0.00000
0028	0.00000	6.68433	44.68031	0.00000	44.68031	22.80858	0.99512	0.37207
0029	0.00000	7.88090	62.10855	3.20489	58.90366	12.62615	0.98535	0.00000
0030	0.00000	7.45396	55.56145	1.02905	54.53240	15.09433	0.98926	0.00000
0031	0.00000	7.22324	52.17526	0.33412	51.84114	16.63353	0.98926	0.00000
0032	0.00000	7.42235	55.09122	0.91277	54.17846	15.29595	0.98926	0.00000
0033	0.00000	6.10702	37.29571	0.00000	37.29571	31.68803	0.99902	0.81543
0034	0.00000	6.08079	36.97607	0.00000	36.97607	32.07541	0.99902	0.82910
0035	0.00000	7.29785	53.25866	0.51923	52.73943	16.11822	0.98926	0.00000
0036	0.00000	6.49966	42.24554	0.00000	42.24554	25.72268	0.99707	0.54785
0037	0.00000	6.45518	41.66933	0.00000	41.66933	26.41414	0.99902	0.58496
0038	0.00000	7.64113	58.38692	1.84781	56.53911	13.95611	0.98730	0.00000
0039	0.00000	7.14949	51.11525	0.18986	50.92539	17.16040	0.99121	0.00000
0040	0.00000	7.31025	53.43982	0.55374	52.88608	16.03424	0.98926	0.00000
0041	0.00000	6.36367	40.49634	0.00000	40.49634	27.82403	0.99902	0.65723
0042	0.00000	6.70318	44.93265	0.00000	44.93265	22.50723	0.99512	0.35254
0043	0.00000	7.12454	50.75912	0.14998	50.60914	17.34270	0.99121	0.00000
0044	0.00000	7.01481	49.20757	0.02963	49.17794	18.16996	0.99121	0.01074
0045	0.00000	6.90559	47.68722	0.00000	47.68722	19.22530	0.99316	0.13379
0046	0.00000	6.63873	44.07279	0.00000	44.07279	23.53458	0.99707	0.41895
0047	0.00000	6.80882	46.36001	0.00000	46.36001	20.80491	0.99512	0.24121
0048	0.00000	6.24571	39.00892	0.00000	39.00892	29.61649	0.99902	0.73926
0049	0.00000	6.60036	43.56471	0.00000	43.56471	24.14232	0.99707	0.45605
0050	0.00000	7.88954	62.24484	3.25996	58.98488	12.58069	0.98535	0.00000
0051	0.00000	7.47045	55.80758	1.09229	54.71528	14.99025	0.98926	0.00000
0052	0.00000	6.47870	41.97350	0.00000	41.97350	26.04904	0.99707	0.56543
0053	0.00000	6.19278	38.35056	0.00000	38.35056	30.41163	0.99902	0.77051
0054	0.00000	7.62601	58.15599	1.77358	56.38242	14.04468	0.98730	0.00000
0055	0.00000	5.31375	28.23591	0.00000	28.23591	41.29260	0.99902	0.98926
0056	0.00000	7.74817	60.03407	2.41228	57.62180	13.34557	0.98730	0.00000
0057	0.00000	8.25066	68.07347	5.91925	62.15421	10.81969	0.98145	0.00000
0058	0.00000	6.52592	42.58760	0.00000	42.58760	25.31255	0.99707	0.52441
0059	0.00000	7.15937	51.25653	0.20690	51.04963	17.08883	0.99121	0.00000
0060	0.00000	7.54027	56.85565	1.37933	55.47632	14.55788	0.98730	0.00000
0061	0.00000	6.90081	47.62122	0.00000	47.62122	19.30378	0.99316	0.13965
